,cosmo_solubility_g_100g_log,solute_chiral_u,solute_reactive,solute_SlogP_VSA6,solute_SMR_VSA4,solute_PEOE_VSA+4,solute_logP(o/w),solute_PEOE_RPC-,solute_a_ICM,solute_rsynth,solvent_rsynth,solute_PEOE_VSA-0,solute_radius,solute_a_nN,solute_balabanJ,solute_GCUT_PEOE_2,solute_PEOE_RPC+,solute_PEOE_VSA-4,solute_PEOE_VSA_FPOS,solute_SlogP_VSA1
"n-(1-oxopentyl)-n-((2-(1h-tetrazol-5-yl)(1,1-biphenyl)-4-yl)methyl)-l-valine",0.14036653220604256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009752034550282505,-0.039660072890932076,-0.044802644872148134,-0.05230309718648332,0.0,0.0,0.0,0.0,0.0,0.0
carbamazepine,0.08001500644679548,0.0,0.0,0.0,-0.0653902123744347,0.0,0.0,0.0,0.005170687602717908,0.0,0.0,0.0,0.010954077597734601,-0.0015502753511184167,0.0,0.0038596477684838372,0.015477336626544347,0.0,0.019700426788076503,0.0
gsk3388354a,0.043841623880495666,0.0,0.03399164476319596,0.0,0.0,0.0,0.0,0.0,0.02842258773528974,0.0,0.015227280455962566,-0.012375528992524054,0.0,0.017764098440719026,0.0,0.0,0.0,0.0,0.0,0.0
lovastatin,0.0,0.0,0.06867132276165185,0.0,0.0054079441598341195,0.004748854537880451,0.019915681778959228,0.0,0.015110649665537434,0.0,0.015521232057971866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naproxen,0.0836354492556151,0.0,0.0,0.08350436681362455,0.0,0.013427088969039642,0.014851599752402266,0.0028527146624668796,0.023622574255321684,0.0,-0.009135332109133523,0.0,0.0,0.009961456973853805,0.0,0.0,0.0,0.0062723907923943134,0.0,0.003955308827857827
maltol,0.07114292941930246,0.0,0.0,0.0,0.006045329373222014,0.0,0.0,0.0,0.0,0.0,0.008252397938245034,0.007472315070049739,0.02003131348983738,0.0,0.002553832635944997,0.0,0.004932050225014477,0.0008625041661940394,0.009387924018871275,0.007851339573466122
gw342946x,0.0,0.0,0.0,0.0,0.015818530267547166,0.007656625643587032,0.0,0.0,0.0,0.0,-0.019152640415551144,0.0,0.0,0.0,0.0,0.0,-0.004736165900171236,0.0,0.0,0.0
octadecanoic acid,0.02000307203558137,0.0,0.0,0.0,0.0,0.0,0.012990227107255281,0.017133358513470382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quercetin,0.25651753710139724,-0.00787485808013783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010100720299257458,0.0,0.0,0.0,-0.027108566316694976,0.0,0.0,0.0,0.0
Testosterone,-0.17290040479589844,0.0,0.0,-0.01013694774722247,0.023695958890320366,0.0,0.0,0.0,0.0961397460176779,-0.01584025324740026,-0.029441367441637778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592350069413012
diclofenac,0.008317737893008548,0.0,-0.005912595171007345,0.14049855154857155,-0.009736094152086353,0.009534593331208732,0.013560969987428057,0.0,0.0,0.006104888300360607,-0.012293722850396926,0.0,0.0,0.002724417878634997,0.0,0.0,0.003483153293730362,0.002612939353579324,-0.007958316893102108,0.0
"3,4-dimethoxybenzoic acid",0.08146319987239509,0.0,-0.005294123977754554,0.0,0.01878412906016586,0.0,-0.005076730151634363,0.0,0.0,-0.010205274849187264,-0.0013215936720262272,0.010654973545241442,0.0061235277221537284,0.017152282183206906,0.0,0.011532704377410918,0.0,0.0,0.0,0.0
acetanilide,0.02019527368442539,0.0,0.0,0.0,-0.0015210126392561094,0.018844133433344856,0.0,0.03685227386177974,0.0,0.031394551635961346,-0.024748499691971432,0.019911767490954482,0.007430322397417807,0.0,0.0,-0.0016721607640415566,0.009806597945859547,0.0032404365737888686,0.03508198980073213,0.0
4-Hydroxybenzoic acid,-0.041173011497371424,0.009169776087438363,-0.009403916557100434,0.0,0.0,0.031189948826023585,-0.00456491653250613,0.0,0.0,0.03091069555182512,0.0,0.017346843557333312,0.06162591023005444,0.013801500494152444,0.016820230239931233,0.0,0.017487755675181346,0.0,0.0,0.0
"3-((6-O-(6-deoxy-α-L-mannopyranosyl)-β-D-glucopyranosyl)oxy)-2-(3,4-dihydroxyphenol)-5,7-dihydroxy-4H-1-benzopyran-4-one",0.009119657775815661,0.0,0.0,0.0,0.0,-0.012562453976856059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058066792675063395,0.0,0.0
