solute_name,solute_FP_315,solute_FP_378,solute_FP_1876,solute_FP_222,solute_FP_1762,solute_FP_935,solute_FP_1536,solute_FP_656,solute_FP_114,solute_FP_227,solute_FP_1991,solute_FP_1009,solute_FP_145,solute_FP_883,solute_FP_4,solute_FP_191,solute_FP_310,solute_FP_888,solute_FP_1199,solute_FP_1683
"3-((6-O-(6-deoxy-α-L-mannopyranosyl)-β-D-glucopyranosyl)oxy)-2-(3,4-dihydroxyphenol)-5,7-dihydroxy-4H-1-benzopyran-4-one",-0.2940125912843555,0.017590878440439283,-0.015397129256515263,0.02435930216021786,0.015927218388507237,0.015250928926096615,0.011412845842070446,-0.05247118171072673,-0.008555431843364464,0.010890749710649418,0.011387307368755243,0.008092592909399952,-0.008776733283354718,0.007458663117057378,0.009360696306179568,-0.010543593477520647,-0.0065532707346210375,0.004079035918601741,-0.007811529098991222,0.00601691024721991
hexanedioic acid,0.02313435135587042,0.021611974929864743,-0.01571077641083889,0.024584765479467023,0.01775603343226976,0.016737614740432036,0.013011144025786053,0.005547959883570002,-0.009361852782768664,0.008920868478253397,0.010355014557289904,0.008614978607602098,-0.009779689760380279,0.007769321886225953,0.006622675786384207,-0.008756905424246498,-0.005963503690363723,0.005880298146121277,-0.010422919112897944,0.0056310442589619925
indomethacin,0.020503060376407423,0.016545935273413002,-0.015419654918562932,0.01235025264005041,0.018127095077361446,-0.09914708816068014,-0.09890089201534769,0.015113177037419519,-0.006001914050454312,0.006298371883603976,0.00855421666308151,0.010091331001458457,0.07929930512630866,0.007906036020431202,0.0040518066162621835,-0.008788557303487323,-0.00403182566583079,0.002835796513487973,-0.007309959547067896,-0.022693580798574354
"2-hydroxy-1,2-diphenylethanone",0.016462399216479753,0.030382156008192093,-0.018699776166286028,0.021990627674519297,0.01416636970944334,0.019154186356578673,0.012022881735395763,0.008729135084677183,-0.012330543346642268,-0.17210062641950266,0.01297646429144758,0.00854416497279696,-0.009096323945239721,0.008448473662926214,0.006022277491976335,-0.00857374539439661,-0.008646211170004487,0.004910366138398482,0.01718449596855483,0.00455824328369393
"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",0.012660333381700185,-0.1566242273012904,-0.026617564554544518,-0.2876651516991933,0.021985082389583112,0.015285813454020173,0.013040327640965188,0.012683694316237962,-0.00906391691771205,0.009193526874769304,0.008021858319989406,0.008749641233516741,-0.011921408550861087,0.009031694430523204,0.00551581445976808,-0.009225259331433335,-0.006774033494657487,0.005272921132554984,-0.00880613480170723,0.004495844436032712
metacetamol,0.018621940065317578,0.01824276217914505,-0.01638403370439644,0.019608970519564332,0.01909988256997571,0.014620302185778403,0.014409568956574125,0.009788252956940495,-0.00859022476473102,0.006513928098239477,0.011243456768505793,0.008295459197187383,-0.009946916602307787,0.008057279920095526,0.005537930482972418,0.07066195922190066,-0.0074689361200903975,0.00462798199915091,-0.009525974679037147,0.003838711024129427
mefenamic acid,0.017378011781242094,0.018952838877161413,-0.018864480648427162,0.01906062555724202,0.018616536868663387,0.019062650671898156,0.014443598397370805,0.009571622301242314,-0.010284361020701908,0.006062531742980355,-0.08730152112266296,0.00901041931574582,-0.011088327471548837,0.007528774339065421,0.005395276128348996,-0.007329067726833273,-0.006742604193095758,0.004211460252676261,0.01358316912020018,0.004075180997926509
"2-[(6-oxobenzo[c][2,1]benzoxaphosphinin-6-yl)methyl]butanedioic acid",0.016715285775547577,0.02208016798878008,-0.023529179601650362,0.020331433801442877,0.012076741621551465,0.014446920690687775,0.011281555567968301,-0.0448483655316967,-0.01082204088038351,0.006064153876262329,0.00907376018778046,0.007244032471401927,-0.011622376338475281,0.005674553892911515,0.0049574766171341855,-0.006301233591037898,-0.004477739050101567,0.00425167943998531,0.014531117927740018,0.004044393451392049
"1,3-benzenedicarboxylic acid",0.015519923622341595,0.019718007731074835,-0.022091505732907815,0.01927578943347376,0.014264297648811548,0.019611800554081966,0.011999180978477502,0.008020238615773941,-0.008496338234925554,0.008713978055597042,0.014304816559437872,0.006161496803710739,-0.011455709067046812,0.007142915701574216,0.004735543668445573,-0.008621421950382891,-0.008183099977058402,0.0042509591012052485,-0.01097918179244726,0.006220682535875732
"2,2-dichloro-n-((1s,2r)-1-(fluoromethyl)-2-hydroxy-2-(4-(methylsulfonyl)phenyl)ethyl)acetamide",0.022910309890698043,0.01961104523774702,-0.01617774744600047,0.020972310820870914,-0.24821059658566083,0.01425095538624373,0.011718018908639351,0.004144137044764648,-0.01033140055486092,-0.1688949162834215,0.012603959482374194,0.00912188272830099,-0.006878185187997587,0.006685501352505526,0.0033269782833331195,-0.009564511130669416,-0.004829674438056828,0.004208495304874304,-0.008068001719934728,-0.019627684134993613
lamivudine,0.021379410511508466,-0.12528078247281882,-0.01966049607226902,-0.19902544244453566,0.01888368371353863,-0.0761004927794329,0.012993312146306077,-0.04382193145008841,-0.008272303859709305,0.010053269973159331,0.00786239757159213,0.007718320099502307,-0.009831746786336831,0.008748980838499848,-0.07001410921460244,-0.00854660140061848,-0.006824468040855815,0.004840374146162957,-0.006874078235196066,0.005603616346543276
311-03-5,0.02320897380760081,-0.20239815499305092,-0.01573744303372223,0.014540957828300763,0.01900385295583484,0.01318911217222194,0.009538230401418072,-0.12743203655890414,-0.008352086541313577,0.005635777911437411,0.006839703744709757,0.00844619370005343,-0.007945513957350029,0.009213951243062703,0.007402338065891985,-0.005462670973709984,-0.005513885316644779,0.005971863223289152,0.009595660794267522,0.0037050883326030866
theophylline,0.014828713899646987,-0.17930156990198487,-0.027664791623881847,0.015498685624423325,0.015746917759993678,-0.11252781456513028,0.013536580185340097,0.007913836559084965,-0.010859168030934101,0.005763932330955868,0.012481438425999263,0.006814132969038011,-0.010754747407475158,0.007295236518363129,0.005075026365632105,-0.006080668929936853,-0.007655312685905797,0.003736379407048596,-0.005598351886758544,0.00407871165750707
gsk1278863,0.013789788829575022,0.019589300076650034,-0.02110445284738186,0.020854921706098442,0.01820216802591555,-0.06853926431931011,0.01605559660686898,0.006744908534862285,-0.010333321563884964,0.006475262033776137,0.013234881540356583,0.005476668401533971,-0.011019179048829148,0.00796826183097437,0.007967649463262963,-0.005542584775957948,-0.008615474609020263,0.0046518864000123965,-0.00843911175072814,0.004020780708779057
trimethoprim,0.010656735251768624,-0.05866523200296797,-0.01320566922656326,0.012656428926204626,0.015878092624116106,0.014055986444711835,-0.060453970189023494,0.002582520258383738,-0.005391985108171866,0.007020340246508567,0.006694363610349683,0.005146002940673498,-0.009979803943488151,0.01025166945910314,0.0059490784984745915,-0.00766575245707827,-0.007683102152732317,0.0040671392866215685,-0.007128325413614221,0.004965001279178978
